Date,Price
113/06/25,211
113/06/26,210
113/06/27,212.5
113/06/28,214
113/07/01,216
113/07/02,204.5
113/07/03,203
113/07/04,214.5
113/07/05,214.5
113/07/08,226.5
113/07/09,225.5
113/07/10,223.5
113/07/11,225.5
113/07/12,216
113/07/15,216.5
113/07/16,213
113/07/17,212
113/07/18,204
113/07/19,204
113/07/22,192.5
113/07/23,201.5
113/07/26,192
113/07/29,193
113/07/30,196
113/07/31,198
113/08/01,202.5
113/08/02,186.5
113/08/05,168
113/08/06,167.5
113/08/07,170.5
113/08/08,163.5
113/08/09,168.5
113/08/12,176
113/08/13,181
113/08/14,185.5
113/08/15,181
113/08/16,184
113/08/19,187
113/08/20,186.5
113/08/21,183.5
113/08/22,179.5
113/08/23,180
113/08/26,182
113/08/27,180.5
113/08/28,185.5
113/08/29,184.5
113/08/30,184.5
113/09/02,183
113/09/03,185
113/09/04,179.5
113/09/05,175
113/09/06,176.5
113/09/09,172
113/09/10,169
113/09/11,169.5
113/09/12,177.5
113/09/13,176
113/09/16,181
113/09/18,174
113/09/19,176.5
113/09/20,177
113/09/23,180
113/09/24,183
113/09/25,188.5
113/09/26,189.5
113/09/27,191
113/09/30,187.5
113/10/01,187
113/10/04,194
113/10/07,197.5
113/10/08,194
113/10/09,199
113/10/11,200
113/10/14,199
113/10/15,207
113/10/16,205
